ticker,yearly_return,avg_price,avg_volume
ADANIENT,-6.670855586972458,2953.0640845070425,2356295.1056338027
ADANIPORTS,36.72720712051961,1260.5262323943662,4814566.802816901
APOLLOHOSP,35.478955645200685,6191.419894366197,432472.9718309859
ASIANPAINT,-21.93504586576567,3019.3827464788733,1214614.3450704226
AXISBANK,9.73536333509439,1126.4677816901408,9618029.686619718
BAJAJ-AUTO,89.01115330562449,8586.158450704226,502406.588028169
BAJAJFINSV,2.5495659972454408,1653.2320422535213,1569381.8943661973
BAJFINANCE,-16.110874039861443,7088.844894366198,1179193.1584507043
BEL,101.7600574712644,233.57112676056337,28472446.580985915
BHARTIARTL,69.599048957095,1293.2276408450705,6171184.151408451
BPCL,67.47715022263885,285.4819718309859,16170556.644366197
BRITANNIA,7.850159605823678,5250.817077464788,345995.8591549296
CIPLA,25.67636117686845,1430.2302816901408,1817625.088028169
COALINDIA,41.846522781774596,435.5904929577465,11918318.838028168
DRREDDY,11.178753867843358,1232.324823943662,2062054.764084507
EICHERMOT,48.77961448946708,4321.183802816901,635657.5774647887
GRASIM,35.781988044977645,2354.8679577464786,800653.352112676
HCLTECH,53.25744732380721,1541.2547535211268,2979915.7077464787
HDFCBANK,15.752130234408671,1578.0330985915493,20048880.492957745
HDFCLIFE,8.625996369663024,642.3647887323943,4379828.309859155
HEROMOTOCO,58.97665472874388,4686.789612676055,732722.8732394367
HINDALCO,35.86831961662674,608.9975352112677,6997897.316901408
HINDUNILVR,-0.9579164810239414,2533.715845070423,1872679.852112676
ICICIBANK,35.91938742954376,1110.0607394366198,14949379.665492957
INDUSINDBK,-30.458408805907762,1442.3605633802813,3947158.9401408453
INFY,32.6534170153417,1629.8769366197184,6755539.116197183
ITC,7.936327458783395,454.5989436619719,14127310.507042253
JSWSTEEL,26.88737422914638,874.2934859154929,2225052.3274647887
KOTAKBANK,1.9918357893517904,1772.9563380281688,5336166.295774648
LT,17.253721630196047,3483.0461267605638,2418356.5035211267
M&M,95.97697411213734,2251.2454225352117,3093708.2007042253
MARUTI,6.9267123486261655,11631.642429577465,560861.3345070423
NESTLEIND,0.707141320714141,2490.1184859154932,932418.3204225352
NTPC,51.51326699834162,346.281338028169,16639937.82746479
ONGC,33.04442036836403,260.17605633802816,18690706.78169014
POWERGRID,68.8549235780506,287.10070422535216,17529094.10915493
RELIANCE,9.172792214514974,1388.0597535211266,12572108.193661971
SBILIFE,14.909667685403694,1528.8788732394366,1349238.2605633803
SBIN,35.34289742101333,742.374471830986,17408250.024647888
SHRIRAMFIN,48.28949764562034,2571.638204225352,1420213.38028169
SUNPHARMA,57.28240395987558,1527.812676056338,2198935.017605634
TATACONSUM,9.753831862517417,1078.0273943661973,1728552.852112676
TATAMOTORS,27.48811346603271,896.3350352112676,12091710.926056338
TATASTEEL,11.546875,149.46517605633804,43942286.72887324
TCS,20.796277587261848,3952.0799295774655,2322424.4929577466
TECHM,43.68113797072849,1382.732218309859,2179248.7429577466
TITAN,3.5181853734845467,3490.904401408451,1142673.940140845
TRENT,223.09261327764563,4670.86073943662,882024.559859155
ULTRACEMCO,36.970944863875545,10265.760915492958,352559.78169014084
WIPRO,40.991490935997035,484.5346830985915,7784437.665492957
